municipio;unidade_de_saude;endereco;telefone;cnes;atendimentos_disponiveis
João Pessoa;Hospital Universitário Lauro Wanderley;R. Tabeliao Estanislau Eloy, 585 - Castelo Branco;(83) 3206-0600;2400243;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Guarabira;Hospital Regional de Guarabira;R João Pimentel Filho, S/N, Juá, Guarabiral;(83) 3271-4933;2603802;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Campina Grande;Hospital Regional de Emergência e Trauma Dom Luiz Gonzaga;R. Av. Mal. Floriano Peixoto, 1045, Malvinas. - CEP 58432-809;(83) 3310-5850;2362856;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Picuí;Hospital Regional de Picuí DR. Felipe Thiago Gomes;R. Francisco Pereira Gomes, 15, Monte Santo. CEP 58187-000;(83) 3371-2554;2757710;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Monteiro;Hospital e Maternidade Santa Filomena;R. Epaminondas Azevedo, Centro. CEP 58500-000;(83) 3351-2204;2336812;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Patos;Hospital Infatil Noaldo Leite;R. Hildo Menezes - Juá Doce. CEP 58704- 540;(83) 3423-2501;2605481;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Patos;Hospital Regional Deputado Janduhy Carneiro;R. Horácio Nóbrega, S/N, Belo Horizonte. CEP 58704-000;(83) 3423-2762;2605473;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Piancó;Hospital Regional Wenceslau Lopes;Av. João Agripino Filho - Ouro Branco - Piancó - CEP 58765-000;(83) 3452-2201 / 1518 / 1543;2600331;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Itaporanga;Hospital Distrital Dr. José Gomes da Silva;Av. Oswaldo Cruz, 183, Centro. CEP 58780- 000;(83) 3451-3058;2341204;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Catolé do Rocha;Hospital Regional Dr. Américo Maia de Vasconcelos;R. Castelo branco, 349, Batalhão. CEP 58884-000;(83) 3441-2280;2592460;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Cajazeiras;Hospital Regional de Cajazeiras Deputado José de Sousa Maciel;Rua Tabelião Antonio Holanda - Centro - Cajazeiras - CEP 58900-000;(83) 3531-3563 / 2736;2613476;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Princesa Isabel;Hospital Regional Deputado José Pereira de Lima;R. Teotônio Carlos de Andrade;(83) 3457-2585;2321637;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Itabaiana;Hospital Regional de Itabaiana Sebastião Rodrigues de Melo;Av. Dep. Adauto Pereira da Silva - Nova Itabaiana - Itabaiana - CEP 58360-000;(83) 3281-2640;6644996;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
Sousa;Hospital Regional Manoel Gonçalves de Abrantes;Rua José Fagundes de Lira, S/N, Jardins. CEP 58802-180;(83) 3522- 6183;2504537;Botrópico, Crotálico, Elapídico, Escorpiônico e Aracnídico
